,Zona básica de salud,fecha informe,Casos confirmados en los ultimos 14 días,Tasa de incidencia acumulada en los últimos 14 días,Tasa incidencia acumulada activos ultimos 14dias,Casos confirmados totales,Tasa de incidencia acumulada total,Casos confirmados activos ultimos 14dias,Código geometría,Unnamed: 9
0,Alcobendas - Chopera,2022/03/29 11:51:00,50.0,177.59,,7715.0,27401.88,,8,
1,La Moraleja,2022/03/29 11:51:00,66.0,275.59,,5911.0,24681.62,,125,
2,Marqués de la Valdavia,2022/03/29 11:51:00,55.0,309.53,,4181.0,23529.74,,160,
3,Miraflores,2022/03/29 11:51:00,41.0,185.49,,5940.0,26872.96,,172,
4,Valdelasfuentes,2022/03/29 11:51:00,65.0,245.84,,5948.0,22496.22,,262,
5,Alcobendas - Chopera,2022/03/22 10:36:00,41.0,145.62,,7685.0,27295.33,,8,
6,La Moraleja,2022/03/22 10:36:00,57.0,238.01,,5870.0,24510.42,,125,
7,Marqués de la Valdavia,2022/03/22 10:36:00,37.0,208.23,,4146.0,23332.77,,160,
8,Miraflores,2022/03/22 10:36:00,37.0,167.39,,5918.0,26773.43,,172,
9,Valdelasfuentes,2022/03/22 10:36:00,68.0,257.19,,5916.0,22375.19,,262,
10,Alcobendas - Chopera,2022/03/15 10:33:00,37.0,131.42,,7661.0,27210.09,,8,
11,La Moraleja,2022/03/15 10:33:00,48.0,200.43,,5830.0,24343.4,,125,
12,Marqués de la Valdavia,2022/03/15 10:33:00,42.0,236.37,,4121.0,23192.08,,160,
13,Miraflores,2022/03/15 10:33:00,41.0,185.49,,5900.0,26692.0,,172,
14,Valdelasfuentes,2022/03/15 10:33:00,81.0,306.35,,5878.0,22231.47,,262,
15,Alcobendas - Chopera,2022/03/08 10:37:00,47.0,166.93,,7634.0,27114.19,,8,
16,La Moraleja,2022/03/08 10:37:00,67.0,279.76,,5791.0,24180.55,,125,
17,Marqués de la Valdavia,2022/03/08 10:37:00,36.0,202.6,,4105.0,23102.03,,160,
18,Miraflores,2022/03/08 10:37:00,43.0,194.53,,5874.0,26574.38,,172,
19,Valdelasfuentes,2022/03/08 10:37:00,79.0,298.79,,5846.0,22110.44,,262,
20,Alcobendas - Chopera,2022/03/01 10:41:00,84.0,298.35,,7608.0,27021.84,,8,
21,La Moraleja,2022/03/01 10:41:00,75.0,313.17,,5703.0,23813.1,,125,
22,Marqués de la Valdavia,2022/03/01 10:41:00,38.0,213.86,,4075.0,22933.2,,160,
23,Miraflores,2022/03/01 10:41:00,70.0,316.68,,5849.0,26461.27,,172,
24,Valdelasfuentes,2022/03/01 10:41:00,90.0,340.39,,5793.0,21909.98,,262,
25,Alcobendas - Chopera,2022/02/22 10:40:00,116.0,412.0,,7565.0,26869.12,,8,
26,La Moraleja,2022/02/22 10:40:00,154.0,643.03,,5666.0,23658.61,,125,
27,Marqués de la Valdavia,2022/02/22 10:40:00,80.0,450.22,,4055.0,22820.64,,160,
28,Miraflores,2022/02/22 10:40:00,113.0,511.22,,5824.0,26348.17,,172,
29,Valdelasfuentes,2022/02/22 10:40:00,168.0,635.4,,5745.0,21728.44,,262,
30,Alcobendas - Chopera,2022/02/15 10:34:00,182.0,646.42,,7518.0,26702.18,,8,
